#hsa	CLP/CMP	Blast_phase	All
613	#ddccff,red		#ddccff,red
25	#ddccff,red		#ddccff,red
1398	#ddccff		#ddccff
1399	#ddccff		#ddccff
23624	#ddccff		#ddccff
867	#ddccff		#ddccff
868	#ddccff		#ddccff
5290	#ddccff		#ddccff
5291	#ddccff		#ddccff
5293	#ddccff		#ddccff
5294	#ddccff		#ddccff
23533	#ddccff		#ddccff
5295	#ddccff		#ddccff
5296	#ddccff		#ddccff
8503	#ddccff		#ddccff
207	#ddccff		#ddccff
208	#ddccff		#ddccff
10000	#ddccff		#ddccff
572	#ddccff		#ddccff
598	#ddccff		#ddccff
1147	#ddccff		#ddccff
3551	#ddccff		#ddccff
8517	#ddccff		#ddccff
4792	#ddccff		#ddccff
4790	#ddccff		#ddccff
4791	#ddccff		#ddccff
5970	#ddccff		#ddccff
4193	#ddccff	#ddccff	#ddccff
7157	#ddccff,red	#ddccff,red	#ddccff,red
1027	#ddccff		#ddccff
2885	#ddccff		#ddccff
6654	#ddccff		#ddccff
6655	#ddccff		#ddccff
3265	#ddccff		#ddccff
3845	#ddccff		#ddccff
4893	#ddccff		#ddccff
369	#ddccff		#ddccff
673	#ddccff		#ddccff
5894	#ddccff		#ddccff
5604	#ddccff		#ddccff
5605	#ddccff		#ddccff
5594	#ddccff		#ddccff
5595	#ddccff		#ddccff
6776	#ddccff		#ddccff
6777	#ddccff		#ddccff
1029		#ddccff,red	#ddccff,red
1026		#ddccff	#ddccff
595		#ddccff	#ddccff
1019		#ddccff	#ddccff
1021		#ddccff	#ddccff
5925		#ddccff,red	#ddccff,red
1869		#ddccff	#ddccff
1871		#ddccff	#ddccff
1870		#ddccff	#ddccff
7040		#ddccff	#ddccff
7042		#ddccff	#ddccff
7043		#ddccff	#ddccff
130399		#ddccff	#ddccff
7046		#ddccff	#ddccff
91		#ddccff	#ddccff
7048		#ddccff	#ddccff
4088		#ddccff	#ddccff
4089		#ddccff	#ddccff
2122		#ddccff,red	#ddccff,red
861		#ddccff,red	#ddccff,red
1487		#ddccff	#ddccff
1488		#ddccff	#ddccff
3065		#ddccff	#ddccff
3066		#ddccff	#ddccff
